"FED_NUM,N,5,0","ED_NAMEE,C,100","ED_NAMEF,C,100","REP_ORDER,C,4","SHAPE_AREA,N,19,11","SHAPE_LEN,N,19,11"
59012,Esquimalt—Saanich—Sooke,Esquimalt—Saanich—Sooke,2023,974824729.544,226751.737193
59013,Fleetwood—Port Kells,Fleetwood—Port Kells,2023,53364065.2442,34385.4337291
59014,Kamloops—Shuswap—Central Rockies,Kamloops—Shuswap—Central Rockies,2023,33573733152.2,1372919.40191
59015,Kamloops—Thompson—Nicola,Kamloops—Thompson—Nicola,2023,50083386455,1882071.16371
59016,Kelowna,Kelowna,2023,2691999067.56,346627.646363
59017,Langley Township—Fraser Heights,Langley Township—Fraser Heights,2023,210880509.899,82281.1311211
59018,Mission—Matsqui—Abbotsford,Mission—Matsqui—Abbotsford,2023,4813755305.86,562069.677901
59019,Nanaimo—Ladysmith,Nanaimo—Ladysmith,2023,2744978484.72,403394.225682
59020,New Westminster—Burnaby—Maillardville,New Westminster—Burnaby—Maillardville,2023,29864353.992,31566.3071289
59021,North Island—Powell River,North Island—Powell River,2023,72388942920.2,1475880.10182
59022,North Vancouver—Capilano,North Vancouver—Capilano,2023,330197620.901,107189.349624
59023,Okanagan Lake West—South Kelowna,Okanagan Lake-Ouest—Kelowna-Sud,2023,2064094951.96,339570.465074
59024,Pitt Meadows—Maple Ridge,Pitt Meadows—Maple Ridge,2023,2358643488.02,358503.448149
59025,Port Moody—Coquitlam,Port Moody—Coquitlam,2023,130936800.83,63439.8927707
59026,Prince George—Peace River—Northern Rockies,Prince George—Peace River—Northern Rockies,2023,243277306530,3585529.9324
59027,Richmond Centre—Marpole,Richmond-Centre—Marpole,2023,132886964.615,55100.3998501
59028,Richmond East—Steveston,Richmond-Est—Steveston,2023,125132609.783,74108.8638992
59029,Saanich—Gulf Islands,Saanich—Gulf Islands,2023,1576980154.99,199984.995568
59030,Similkameen—South Okanagan—West Kootenay,Similkameen—Okanagan-Sud—Kootenay-Ouest,2023,17156807509.8,1017913.92442
59031,Skeena—Bulkley Valley,Skeena—Bulkley Valley,2023,374680636326,5343131.04664
59032,South Surrey—White Rock,Surrey-Sud—White Rock,2023,192787801.333,60850.0153331
59033,Surrey Centre,Surrey-Centre,2023,42481523.2641,28233.2495708
59034,Surrey Newton,Surrey Newton,2023,29155808.6274,23307.2433188
59035,Vancouver Centre,Vancouver-Centre,2023,16967786.6695,18888.5248209
59036,Vancouver East,Vancouver-Est,2023,25892364.1441,21630.5766619
