riding_id,riding_name,inc_fname,inc_lname,bq_can,ppc_can,ndp_can,cpc_can,lib_can,gp_can
74,Longueuil—Saint-Hubert,Denis,Trudel,Denis Trudel,,Nesrine Benhadj,Martine Boucher,Natilien Joseph,
75,Louis-Hébert,Joël,Lightbound,Valérie Savard,Vatthana Maholy,Jean-Paul Lussiàà-Berdou,Claude Dussault,Joël Lightbound,
76,Louis-Saint-Laurent—Akiawenhrahk,Gérard,Deltell,Martin Trudel,Anthony Leclerc,Colette Amram Ducharme,Gerard Deltell,Rhode-Malaure Pierre,
27,Madawaska—Restigouche,René,Arseneault,,Nancy Mercier,Daisy Petersen,Michel Morin,Guillaume Deschênes-Thériault,
11,Malpeque,Heath,Gill,,Hilda Baughan,Cassie MacKay,Jamie Fox,Heath MacDonald,Anna Keenan
77,Marc-Aurèle-Fortin,Yves,Robillard,Claude Tousignant,,,Janina Moran,Carlos Leitao,
166,Markham—Stouffville,Helena,Jaczek,,,Serena Cheung,Niran Jeyanesan,Helena Jaczek,
167,Markham—Thornhill,Mary,Ng,,Mimi Lee,Aftab Qureshi,Lionel Loganathan,Tim Hodgson,
168,Markham—Unionville,Paul,Chiang,,,Sameer Qureshi,Michael Ma,Peter Yuen,
290,Medicine Hat—Cardston—Warner,Glen,Motz,,,Jocelyn Johnson,Glen Motz,Tom Rooke,
78,Mégantic—L’Érable—Lotbinière,,,Réjean Hurteau,,Gabriel D'Astous,Luc Berthold,Charles McKaig,
169,Middlesex—London,,,,,Taylor McIntosh,Lianne Rood,Kent Keenan,
170,Milton East—Halton Hills South,,,,Walter Hofman,Muhammad Riaz-Sahi,Parm Gill,Kristina Tesser Derksen,
79,Mirabel,Jean-Denis,Garon,Jean-Denis Garon,Christian Montpetit,Albert Batten,Serge Dubord,Robert Fleming,
28,Miramichi—Grand Lake,Jake,Stewart,,,,Mike Dawson,Lisa Harris,
315,Mission—Matsqui—Abbotsford,,,,,Jules Côte,Brad Vis,Jeff Howe,
171,Mississauga Centre,Omar,Alghabra,,,Brandon Nguyen,Tom Ellard,Fares Al Soud,
172,Mississauga East—Cooksville,Peter,Fonseca,,Amit Gupta,Khawar Hussain,Muhammad Ishaq,Peter Fonseca,
173,Mississauga—Erin Mills,Iqra,Khalid,,Michael Bayer,Ehab Mustapha,Nita Kang,Iqra Khalid,
174,Mississauga—Lakeshore,Charles,Sousa,,Fahad Rao,Evelyn Butler,Milad Mikael,Charles Sousa,
175,Mississauga—Malton,Iqwinder,Gaheer,,Nathan Quinlan,Inderjeetsingh Ailsinghani,Jaspreet Sandhu,Iqwinder Singh Gaheer,
176,Mississauga—Streetsville,Rechie,Valdez,,Logan Araujo,Bushra Asghar,Sue McFadden,Rechie Valdez,
29,Moncton—Dieppe,,,,,Serge Landry,Jocelyn Dionne,Ginette Petitpas Taylor,
81,Mont-Saint-Bruno—L’Acadie,,,Noémie Rouillard,Patrick Rochon,Mirabelle Leins,Nicolas Godin,Bienvenu-Olivier Ntumba,
82,Montcalm,Luc,Généreux,Luc Thériault,,Denis Perreault,Jean-Sébastien Lepage,Fatima Badran,
83,Montmorency—Charlevoix,,,Caroline Desbiens,Bart Cortenbach,,Gabriel Hardy,Alex Ouellet-Bélanger,
250,Moose Jaw—Lake Centre—Lanigan,Fraser,Tolmie,,Chey Craik,Britt Baumann,Fraser Tolmie,Tabitha Mukamusoni,
80,Mount Royal,Anthony,Housefather,Yegor Komarov,,Adam Frank,Neil Oberman,Anthony Housefather,
316,Nanaimo—Ladysmith,Lisa Marie,Barron,,,Lisa Marie Barron,Tamara Kronis,Michelle Corfield,Paul Manly
177,Nepean,Chandra,Pasma,,Eric Fleury,Shyam Shukla,Barbara Bal,Mark Carney,
179,New Tecumseth—Gwillimbury,,,,Paul Montague,Nancy Morrison,Scot Davidson,Mike Hanrahan,
317,New Westminster—Burnaby—Maillardville,Peter,Julian,,,Peter Julian,Indy Panchi,Jake Sawatzky,
178,Newmarket—Aurora,Tony,Badawey,,,Anna Gollen,Sandra Cobeña,Jennifer McLachlan,
180,Niagara Falls—Niagara-on-the-Lake,,,,Dinah Althorpe,Shannon Mitchell,Tony Baldinelli,Andrea Kaiser,
181,Niagara South,,,,,Chantal McCollum,Fred Davies,Vance Badawey,
182,Niagara West,Dean,Allison,,Ryan Anderson,Justin Abando,Dean Allison,Jennifer Korstanje,
183,Nipissing—Timiskaming,Anthony,Rota,,John Janssen,Valerie Kennedy,Garry Keller,Pauline Rochefort,
318,North Island—Powell River,Rachel,Blaney,,Paul Macknight,Tanille Johnston,Aaron Gunn,Jennifer Lash,Jessica Wegg
319,North Vancouver—Capilano,,,,Ehsan Arjmand,Tammy Bentz,Stephen Curran,Jonathan Wilkinson,
184,Northumberland—Clarke,,,,Lisa Bradburn,Ava Becker,Philip Lawrence,John Goheen,
342,Northwest Territories,Michael,McLeod,,,Kelvin Kotchilea,Kimberly Fairman,Rebecca Alty,Rainbow Eyes
84,Notre-Dame-de-Grâce—Westmount,Anna,Gainey,Félix-Antoine Brault,Marc Perez,Malcolm Lewis-Richmond,Neil Drabkin,Anna Gainey,
343,Nunavut,Lori,Idlout,,,ᓘᕆ ᐃᓪᓚᐅᖅ Lori Idlout,James T. Arreak,Kilikvak Kabloona,
